ID	Day1	Day2	Day3	Day6	Day8	Day12
PF3D7_1324500	6.03256	6.622079	6.069154	6.108022	6.075078	5.897039
PF3D7_1324600	6.916021	7.144723	7.140224	7.172594	7.451854	7.727414
PF3D7_1324700	6.474873	6.630939	6.438162	6.61723	6.952554	6.70114
PF3D7_1324800	5.843238	6.717136	6.052792	5.816766	5.812389	6.232431
PF3D7_1324900	11.119924	10.954966	10.110554	9.488736	9.361733	8.913309
PF3D7_1325000	7.843331	7.346526	7.110767	5.984505	6.893848	7.85486
PF3D7_1325100	9.796316	9.426212	8.775933	8.431738	8.554361	8.943653
PF3D7_1325200	7.678641	7.782478	8.168624	8.50261	8.604498	8.237086
PF3D7_1325400	5.195134	5.981637	5.703322	5.893569	5.858596	5.782801
PF3D7_1325500	5.863808	5.507975	5.531314	5.098986	4.886582	5.344323
PF3D7_1325600	6.130389	6.776974	6.657201	7.278417	7.701225	7.173016
PF3D7_1325700	7.306581	7.570099	7.31273	6.568262	7.455142	7.792907
PF3D7_1325800	6.031259	5.726592	5.983697	5.960356	6.238426	5.618907
PF3D7_1325900	5.283957	5.87505	5.676647	5.836053	5.59602	5.529719
PF3D7_1326000	5.149193	5.9493	5.790943	5.679725	5.877301	6.173773
PF3D7_1326100	6.093925	5.886607	5.954466	6.025356	6.001295	6.106621
PF3D7_1326200	5.285229	5.395687	5.537163	4.758946	5.02481	5.478978
PF3D7_1326300	7.986806	7.753346	7.536785	7.558252	7.323138	7.513452
PF3D7_1326400	5.615932	5.036502	4.902917	4.495431	4.658859	4.687674
PF3D7_1326500	4.2043	4.505319	4.362541	4.55325	4.348246	4.504493
PF3D7_1326600	4.963268	5.235568	5.111286	5.080436	4.895193	5.118596
PF3D7_1326700	3.295803	3.586753	3.391712	3.036179	3.71871	4.493671
PF3D7_1326800	5.097048	5.58347	4.832739	4.953027	4.406512	5.383835
PF3D7_1326900	4.929927	4.516889	4.383224	4.936143	5.196199	5.636781
PF3D7_1327000	4.981686	4.405526	4.994856	3.874468	3.590435	7.792907
PF3D7_1327100	4.261132	3.915647	5.14785	4.842528	5.14785	7.915007
PF3D7_1327300	6.513069	6.589569	6.999059	6.949684	6.945009	6.143279
PF3D7_1327500	3.968236	4.35321	4.703724	4.220897	4.444566	4.708835
PF3D7_1327800	7.142764	6.722881	6.257251	6.091006	6.426008	5.510991
PF3D7_1328000	4.504877	4.88921	4.668906	4.829716	5.007707	4.946447
PF3D7_1328100	9.246511	9.341854	8.814443	8.975742	9.271709	9.868073
PF3D7_1328200	4.390212	4.740672	4.712941	4.63687	4.713593	4.738498
PF3D7_1328300	7.319995	7.677465	7.549633	7.230174	7.246983	6.944326
PF3D7_1328400	7.237658	7.81992	6.400829	6.743756	6.873597	8.45595
PF3D7_1328500	6.406827	6.226473	5.956096	5.725859	5.783516	5.390629
PF3D7_1328600	5.793215	5.812635	6.140075	6.504549	6.973905	6.482865
PF3D7_1328800	7.949901	7.917584	8.216559	8.401732	8.530636	8.33061
PF3D7_1328900	5.825578	5.719009	5.343033	5.078985	5.475889	5.670218
PF3D7_1329000	6.041818	5.788094	5.548818	5.524537	5.502847	5.548818
PF3D7_1329100	7.251176	7.244775	6.800276	6.730763	6.708241	6.411859
PF3D7_1329200	4.287285	4.64703	4.618646	4.724265	4.734111	5.143059
PF3D7_1329300	5.813039	6.235381	6.054382	6.406853	6.296417	6.701456
PF3D7_1329400	6.560015	6.60179	6.55068	6.406991	6.238165	6.250413
PF3D7_1329500	6.41893	6.237832	6.495427	6.312279	6.474473	6.398465
PF3D7_1329600	9.774882	9.489357	9.552424	9.327973	9.011726	9.451443
PF3D7_1329700	5.554597	5.756417	6.147515	6.477089	6.932258	5.551435
PF3D7_1329800	5.665646	5.496277	5.509431	5.398526	5.547252	5.496617
PF3D7_1329900	6.056145	5.518875	6.096355	6.039622	5.760228	6.031162
PF3D7_1330000.1	7.48835	6.868579	7.487482	6.046659	7.447022	7.839396
PF3D7_1330000.2	7.508451	7.158805	7.493614	6.624572	7.611888	7.82012
PF3D7_1330100	6.796048	5.481321	4.595529	5.060013	4.730652	4.137937
PF3D7_1330200	6.525413	7.233988	6.255081	6.457494	6.91856	7.67981
PF3D7_1330300	5.926543	5.232779	5.336743	4.850793	6.292485	6.051513
PF3D7_1330400.1	9.36039	10.164006	9.467027	9.144521	9.583436	9.267281
PF3D7_1330400.2	9.180769	9.825206	9.262862	8.955939	9.332569	8.852142
PF3D7_1330500	5.707105	6.146184	6.203043	6.66666	6.69642	7.06328
PF3D7_1330600	6.844305	7.312562	7.035564	7.385871	8.033651	8.320889
PF3D7_1330700	7.170253	8.39191	7.597108	7.458518	7.452531	7.344857
PF3D7_1330800	8.478189	7.783235	8.19664	7.979765	8.227253	8.425149
PF3D7_1331000	6.155578	6.448874	6.727558	6.68592	7.00137	7.58579
PF3D7_1331100	5.995973	6.136485	6.27911	5.945523	5.828229	5.73517
PF3D7_1331200	6.042904	5.666921	5.543764	5.317554	5.671365	5.588646
PF3D7_1331300	8.182796	9.091733	8.534038	8.499926	8.583877	8.250434
PF3D7_1331400	5.910077	6.550778	7.417142	8.58219	9.323628	9.335993
PF3D7_1331500	4.140888	4.426762	4.155126	4.052832	4.262323	5.083974
PF3D7_1331600	9.368871	11.33396	10.52414	11.419157	12.35566	12.352309
PF3D7_1331700	7.513512	7.196975	6.968743	6.811973	6.539705	6.214524
PF3D7_1331800	9.419119	8.805882	8.394944	8.546131	8.655894	8.525184
PF3D7_1332000	4.838201	4.983024	4.655606	4.842528	5.802836	5.676504
PF3D7_1332100	5.976544	6.25065	6.417701	6.498012	5.712261	6.688507
PF3D7_1332200	5.514103	5.632868	5.827008	5.644537	5.455498	5.873706
PF3D7_1332300	7.04723	8.383613	7.602459	7.128765	7.779397	8.508375
PF3D7_1332400	6.520118	6.084965	6.577777	6.390645	6.291227	6.088808
PF3D7_1332500	6.294525	5.826217	6.50251	6.352261	6.716047	6.271346
PF3D7_1332600	7.66771	8.202778	7.515415	7.24809	6.989935	6.825713
PF3D7_1332700	6.301408	5.885726	5.766333	5.881266	6.507778	6.059528
PF3D7_1332800	6.743657	6.174933	5.951785	6.223699	6.554846	5.548387
PF3D7_1332900	6.602454	6.262539	6.021603	5.895413	5.846653	5.846475
PF3D7_1333000	9.397466	8.902173	8.725923	8.368487	8.461699	8.32089
PF3D7_1333100	4.968877	5.106338	5.139671	5.22965	5.232986	5.294255
PF3D7_1333200	5.887465	6.015034	5.634477	5.427053	5.308114	5.330369
PF3D7_1333300	4.547745	4.623819	4.349191	4.70111	4.433239	4.729375
PF3D7_1333400	4.085339	4.578328	4.272674	4.617308	4.586678	4.441614
PF3D7_1333500	5.788488	5.871608	5.607503	5.880775	6.178752	5.893674
PF3D7_1333600	4.979695	4.663436	4.644271	4.491133	4.663573	4.564793
PF3D7_1333700	7.802428	7.991093	7.726771	8.241725	9.105595	9.237879
PF3D7_1333800	6.493501	6.369047	5.966207	6.103422	6.727435	6.870382
PF3D7_1333900	4.59643	4.707903	4.300191	4.293892	4.162155	4.504803
PF3D7_1334000	5.899876	6.253868	6.409068	6.917976	7.04612	7.450381
PF3D7_1334100	6.271025	6.451439	6.353364	6.431019	6.523735	5.856678
PF3D7_1334200	4.815528	4.36863	4.674476	4.565036	4.952324	4.247929
PF3D7_1334300	4.800349	4.725118	4.596059	4.219231	4.401759	4.646864
PF3D7_1334400	3.857144	4.223059	3.501995	4.116673	4.548146	4.446358
PF3D7_1334500	4.619954	5.229567	4.457551	4.433477	4.444765	4.197
PF3D7_1334600	3.955492	5.33889	4.160698	4.372496	5.40108	3.958906
PF3D7_1334700	8.707004	8.635701	8.916139	7.835917	6.851169	6.596292
PF3D7_1334800	7.643788	8.498033	7.810796	7.495637	6.655662	7.703781
PF3D7_1335000	5.316716	4.598965	5.156747	5.093491	5.13745	5.61408
PF3D7_1335100	4.177522	5.069073	4.976309	4.148686	4.282279	4.355917
PF3D7_1335200	4.334159	4.13612	4.461666	4.26581	3.852835	4.329008
PF3D7_1335300	4.135517	4.534315	5.199282	4.641769	4.335345	4.400653
PF3D7_1335400	3.933117	4.354004	4.98979	4.4794	4.122647	4.270579
PF3D7_1335500	5.546672	5.895762	5.958963	6.182042	6.513545	6.449137
PF3D7_1335600	6.051226	5.768594	5.781815	6.130568	6.001131	5.529775
PF3D7_1335700	5.23095	5.084859	4.941296	5.150077	4.877591	5.414881
PF3D7_1335800	4.372783	4.593497	3.932557	4.483715	4.243637	4.310927
