ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53
mal_mito_1	0.4563	0.2749	0.1728	0.0187	-0.204	-0.253	-0.3842	-0.5643	-0.6783	-0.7617	-1.0867	-1.3056	-1.3721	-1.6169	-1.488	-1.4088	-1.3014	-1.1998	-0.8253	-0.7642	-0.6392	-0.5459	-0.4736	-0.4776	-0.4519	-0.3945	-0.3983	-0.2473	-0.1793	-0.0934	-0.0281	0.1457	0.1193	0.0797	-0.01	-0.0194	-0.0888	-0.1486	-0.1266	-0.1776	-0.1085	0.0626	0.1823	0.1759	0.332	0.3209	0.2068	0.1173	0.2355	0.2445	0.5222	0.793	1.2067
mal_mito_2	0.2809	0.1346	0.0264	-0.1395	-0.3571	-0.421	-0.551	-0.7277	-0.836	-0.9173	-1.1792	-1.3967	-1.4404	-1.6241	-1.461	-1.4144	-1.2708	-1.1402	-0.8517	-0.8224	-0.6855	-0.6169	-0.4994	-0.3983	-0.3282	-0.1929	-0.1218	-0.026	0.0078	0.0883	0.0985	0.2082	0.1855	0.1525	0.1092	0.1058	0.057	0.0238	0.0632	0.0542	0.127	0.3307	0.4333	0.4088	0.4821	0.455	0.2905	0.2639	0.3326	0.2943	0.4287	0.5199	0.7045
mal_mito_3	0.2288	0.1082	0.0355	-0.1671	-0.32	-0.3709	-0.5347	-0.7971	-1.0088	-1.2302	-1.6606	-2.0086	-2.1182	-2.3111	-2.1578	-2.0676	-1.8719	-1.7026	-1.3313	-1.2485	-1.1119	-1.0006	-0.8798	-0.7629	-0.7214	-0.5768	-0.5453	-0.4078	-0.3645	-0.208	-0.1394	0.0252	0.0367	0.0423	-0.0066	0.0653	0.0582	0.0362	0.0708	0.0413	0.1251	0.4122	0.5265	0.5031	0.6069	0.5018	0.2263	0.2012	0.2739	0.3004	0.4834	0.6497	0.8902
PF3D7_0100100	0.013	0.0242	0.0549	0.0612	0.1076	0.1463	0.181	0.1952	0.2063	0.1977	0.2135	0.1973	0.219	0.2523	0.2413	0.2	0.2028	0.1621	0.1507	0.1126	0.1079	0.0662	0.0979	0.0796	0.0983	0.1054	0.1174	0.0834	0.0419	0.0452	0.0065	-0.0091	-0.0278	-0.0136	-0.0676	-0.0555	-0.0619	-0.0868	-0.1068	-0.0565	-0.0571	-0.0484	-0.023	-4e-04	-0.0125	0.0724	0.0895	0.0904	0.134	0.1575	0.1227	0.1672	0.1869
PF3D7_0100200	0.0545	0.0913	0.0929	0.0933	0.0633	0.0595	0.0562	0.0417	0.0451	0.0728	0.0805	0.0882	0.1378	0.1623	0.1324	0.0916	0.042	-0.0025	-0.0441	-0.0127	0.0092	0.0378	0.0802	0.1041	0.0893	0.1285	0.126	0.0935	0.0778	0.077	0.0156	0.0417	0.0312	0.024	0.054	0.0735	0.0576	0.0611	0.071	0.0325	0.0269	0.0808	0.1178	0.1405	0.1362	0.1592	0.1274	0.1165	0.0942	0.1068	0.1135	0.1058	0.1532
PF3D7_0100300	-0.0041	0.0759	0.1357	0.204	0.2684	0.3087	0.3324	0.4279	0.4079	0.4094	0.4667	0.4951	0.4288	0.5534	0.5922	0.538	0.5194	0.5022	0.377	0.284	0.2324	0.173	0.1166	0.059	0.0096	-0.0482	-0.0962	-0.1178	-0.1087	-0.0962	-0.0687	-0.0451	-0.0461	-0.0584	-0.0576	-0.0513	-0.0599	-0.0269	-0.013	0.001	0.0164	0.0305	0.0209	0.0224	-0.016	-0.0238	-0.0476	-0.0489	-0.0277	0.0142	0.0728	0.1703	0.2746
PF3D7_0100400	0.0756	0.0776	0.0944	0.1328	0.1463	0.2221	0.2478	0.2763	0.2842	0.2716	0.3037	0.2878	0.2643	0.2533	0.2355	0.1288	0.0903	0.0864	0.0414	-0.005	-0.0243	-0.0202	-0.0929	-0.0778	-0.0636	-0.0294	-0.0347	0.0707	0.0583	0.0611	0.0417	0.0303	-0.0316	-0.0351	-0.0638	-0.0653	-0.0444	-0.065	-0.0639	-0.0152	-0.0104	-0.0073	0.0101	0.0336	0.0194	0.021	0.0274	0.065	0.2276	0.2217	0.2312	0.2118	-0.1081
PF3D7_0100600	0.1829	0.1035	0.0653	0.0169	0.0182	0.0149	0.0202	0.0376	0.0542	0.0622	0.0655	0.0481	0.05	0.0327	0.0235	0.0242	0.0218	-0.0017	-5e-04	0.0285	0.0299	0.0355	0.0476	0.0793	0.0658	0.0686	0.0723	0.0393	0.0093	0.0041	-7e-04	0.015	0.0411	0.0586	0.044	0.0428	0.0208	0.0141	0.0252	0.0142	0.0929	0.1051	0.1252	0.1017	0.1066	0.0214	-0.0016	-0.0206	-0.0276	-0.0281	-0.0391	-0.0413	-0.0611
PF3D7_0100800	0.1738	0.1031	0.1088	0.1206	0.1317	0.1948	0.2038	0.2229	0.1942	0.182	0.1431	0.1253	0.1157	0.1193	0.1401	0.1429	0.1446	0.1692	0.2135	0.1887	0.169	0.1523	0.1201	0.0402	0.0285	-0.0456	-0.1079	-0.1408	-0.1284	-0.1263	-0.0566	-0.0208	-0.0323	-0.0395	-0.0898	-0.0797	-0.0797	-0.0626	-0.073	-0.0454	-0.0645	-0.0773	-0.0721	-0.0439	-0.0341	-0.0572	-0.0534	-0.0639	-0.0345	0.0163	0.1504	0.2906	0.4409
PF3D7_0100900	0.2702	0.3434	0.4135	0.4236	0.3979	0.4324	0.384	0.3718	0.3491	0.3109	0.3599	0.3414	0.303	0.3729	0.3566	0.2392	0.2345	0.2029	0.0774	-0.0083	-0.0695	-0.2049	-0.2784	-0.273	-0.3471	-0.3358	-0.2394	-0.2468	-0.2656	-0.2026	-0.2208	-0.2552	-0.2684	-0.2562	-0.203	-0.2032	-0.2411	-0.2158	-0.1902	-0.1753	-0.0186	0.0247	0.0471	0.0939	0.1399	0.0706	0.1071	0.1443	0.517	0.544	0.7427	1.0115	0.7957
PF3D7_0101000	0.0219	0.0765	0.1965	0.1896	0.2199	0.2688	0.2347	0.1929	0.2033	0.212	0.2236	0.1912	0.197	0.1799	0.15	0.0669	0.0883	0.0611	0.0427	-0.0231	-0.0374	-0.0887	-0.1072	-0.0894	-0.0679	-0.0598	-0.0341	-0.0653	-0.0647	-0.066	-0.0816	-0.1075	-0.1194	-0.1284	-0.1297	-0.1031	-0.1042	-0.0961	-0.0628	-0.0447	-0.0469	-0.0139	0.0086	-0.0108	0.0031	0.0223	0.0232	0.0217	0.0878	0.0792	0.1282	0.1788	0.204
PF3D7_0101100	0.1925	0.3067	0.4559	0.5305	0.6284	0.7145	0.7409	0.8123	0.8803	0.8677	0.9404	0.9539	0.896	0.9318	0.941	0.8479	0.7943	0.6522	0.4981	0.3727	0.2544	0.1522	0.1632	-0.0287	-0.1455	-0.254	-0.4045	-0.4983	-0.4562	-0.4891	-0.5175	-0.4942	-0.537	-0.5241	-0.5416	-0.5579	-0.5805	-0.587	-0.6308	-0.5331	-0.4541	-0.3679	-0.3397	-0.2684	-0.3	-0.222	-0.2551	-0.2906	-0.0849	0.0695	0.2203	0.5795	0.7485
PF3D7_0101200	0.3499	0.3787	0.4576	0.5326	0.5565	0.6713	0.6875	0.7002	0.7033	0.7115	0.8036	0.8577	0.8446	0.9371	0.9714	0.7792	0.6726	0.6068	0.4297	0.2619	0.1719	0.036	-0.0622	-0.1884	-0.2273	-0.2718	-0.3303	-0.2442	-0.2405	-0.255	-0.2409	-0.2128	-0.3206	-0.3005	-0.3084	-0.3484	-0.3505	-0.3337	-0.3434	-0.2966	-0.2607	-0.2603	-0.2729	-0.2423	-0.2864	-0.2389	-0.2516	-0.2306	-0.0729	0.0532	0.3183	0.7053	1.0623
PF3D7_0101300	0.0611	0.0317	0.031	0.0514	0.0841	0.1561	0.1917	0.2648	0.2453	0.215	0.1661	0.2424	0.1902	0.2688	0.311	0.3028	0.2108	0.1927	0.1576	0.144	0.1472	0.1541	0.1754	0.0995	0.0751	0.0392	0.0327	-0.0082	0.012	-0.0051	0.0455	0.0323	0.029	0.0344	0.0136	-0.012	-0.0161	0.0305	0.0429	0.0881	0.077	0.0699	0.0095	-0.0108	-0.0673	-0.0968	-0.1083	-0.1073	-0.1151	-0.0374	0.005	0.0666	0.1202
PF3D7_0101500	0.0152	0.0713	0.1165	0.1326	0.1715	0.2377	0.2481	0.3003	0.3586	0.4175	0.4503	0.5047	0.443	0.5522	0.5601	0.531	0.5158	0.5633	0.3766	0.2357	0.1639	0.0867	0.0251	0.0377	0.0466	0.0394	0.0209	0.0168	0.002	-0.0016	-0.0362	-0.0497	-0.09	-0.0875	-0.0799	-0.084	-0.0785	-0.0738	-0.0859	-0.1237	-0.1214	-0.1537	-0.1424	-0.1619	-0.1415	-0.1313	-0.1015	-0.088	-0.0215	-0.0063	0.0103	0.0251	-0.0277
PF3D7_0101600	0.0211	0.0657	0.1565	0.1848	0.2225	0.2573	0.2568	0.2425	0.2328	0.2218	0.2042	0.1907	0.2093	0.1672	0.1885	0.1605	0.1829	0.1599	0.1877	0.1346	0.1088	0.0577	-0.0146	-0.0232	-0.0331	-0.0506	-0.0589	-0.0331	-0.0208	-0.0128	0.0068	-0.0094	-7e-04	-0.0301	-0.0245	-0.0043	0.0319	0.0051	0.0321	0.0338	0.0135	0.0101	0.009	0.0029	0.0101	0.0323	0.0284	0.041	0.0886	0.128	0.2017	0.3059	0.3921
PF3D7_0101700	0.0417	0.0617	0.0925	0.1005	0.1038	0.1137	0.1171	0.0988	0.0889	0.098	0.0762	0.0669	0.0504	0.0362	0.0389	0.0401	0.0802	0.1108	0.1493	0.1193	0.1034	0.0577	0.0154	-0.0243	-0.0256	-0.0349	-0.0234	-0.035	-0.0285	-0.0168	0.0164	-0.0194	-0.0049	-0.02	-0.0325	-0.0352	-0.027	-0.0158	-0.0013	0.0148	0.0203	0.0325	0.0274	0.0134	0.006	-0.0174	5e-04	-0.0157	0.0095	0.0092	0.0353	0.0483	0.0865
PF3D7_0101800	-0.0126	0.0072	0.0254	0.0416	0.036	0.0514	0.0477	0.1555	0.1188	0.1196	0.0707	0.061	-0.0602	-0.0733	-0.0671	-0.0481	-0.0602	-0.0174	0.0332	0.049	0.0549	0.0708	0.0297	-0.0088	-0.0407	-0.0597	-0.0799	-0.0808	-0.0467	-0.034	0.0064	-0.0226	-0.0134	-0.0379	-0.042	-0.0604	-0.0423	-0.0406	-0.0025	-0.001	0.0196	0.0342	0.0311	-0.0085	-0.0286	-0.0615	-0.07	-0.0836	-0.0789	-0.0519	-0.0211	0.0149	0.0757
PF3D7_0101900	0.1793	0.2004	0.3005	0.3171	0.3272	0.4077	0.3659	0.3443	0.3239	0.3349	0.3199	0.2824	0.2987	0.2431	0.2576	0.1744	0.2354	0.2313	0.2506	0.1594	0.0964	-0.0037	-0.1054	-0.1313	-0.1712	-0.1729	-0.1912	-0.191	-0.1694	-0.0867	-0.0599	-0.0633	-0.0616	-0.0707	-0.0938	-0.0695	-0.04	-0.0757	-0.045	-0.0603	-0.0515	-0.0342	0.0242	0.0299	0.0663	0.0736	0.0594	0.0423	0.0671	0.0842	0.2118	0.3826	0.6178
PF3D7_0102000	-0.2285	-0.2488	-0.2444	-0.2671	-0.2521	-0.2452	-0.1828	-0.1747	-0.0478	-0.0436	0.0495	0.0833	0.1729	0.2456	0.2957	0.2831	0.308	0.2805	0.1732	0.1444	0.1414	0.111	0.1324	0.1398	0.1735	0.2047	0.2637	0.2076	0.1785	0.1265	0.0741	-0.0366	-0.0556	-0.0505	-0.0769	-0.0998	-0.0849	-0.103	-0.1877	-0.1728	-0.1748	-0.1617	-0.1416	-0.0923	-0.0929	-0.1377	-0.1661	-0.1924	-0.182	-0.194	-0.1285	-0.0825	-0.0169
PF3D7_0102100	-0.0664	0.1344	0.3611	0.5785	0.5714	0.6453	0.5516	0.5956	0.5611	0.4746	0.4734	0.5534	0.3823	0.3867	0.4835	0.5156	0.5176	0.5521	0.4114	0.3128	0.2044	0.1354	0.0808	0.0791	0.0672	0.0415	-0.0127	-0.0769	-0.149	-0.189	-0.1873	-0.2295	-0.2007	-0.1432	-0.1202	-0.1264	-0.0899	-0.0771	-0.0389	-0.071	-0.091	-0.1264	-0.1469	-0.1756	-0.1909	-0.1878	-0.183	-0.2117	-0.1443	-0.0658	-0.0569	0.0059	-0.1049
PF3D7_0102200	0.194	0.7645	1.0489	1.291	1.2842	1.2191	1.1869	0.9841	0.8118	0.6059	0.4023	0.0977	-0.0402	-0.2861	-0.4833	-0.6192	-0.7145	-0.8698	-0.9113	-0.9894	-1.2707	-1.5111	-1.8242	-2.1219	-2.3486	-2.4836	-2.5973	-2.524	-2.6246	-2.6548	-2.6633	-2.7028	-2.7714	-2.6731	-2.627	-2.4518	-2.1891	-1.8958	-1.6405	-1.3384	-1.0211	-0.6455	-0.4222	-0.1881	-0.0403	0.0415	-0.0532	-0.0298	0.3329	0.8312	1.0583	1.5771	1.5553
PF3D7_0102500	0.6954	0.3415	0.16	0.0668	0.0343	0.2737	0.3187	0.3478	0.2405	0.0506	-0.3026	-0.6354	-0.8803	-1.2005	-1.4395	-1.6695	-1.8476	-1.9491	-1.888	-2.1299	-2.1934	-2.347	-2.5634	-2.65	-2.4592	-2.406	-2.2765	-1.9563	-1.8953	-1.8172	-1.6578	-1.4793	-1.3643	-1.0847	-0.8473	-0.5819	-0.3074	-0.1619	-0.1081	-0.2695	-0.3538	-0.3742	-0.3343	-0.1469	0.2982	0.6656	0.895	0.9684	1.2477	1.2873	1.1355	1.1098	0.6042
PF3D7_0102600	-2e-04	-0.0108	0.0256	0.0513	0.1229	0.1779	0.2386	0.3179	0.3311	0.3903	0.5576	0.6182	0.62	0.7216	0.7027	0.5586	0.5236	0.5114	0.4354	0.3828	0.3453	0.2765	0.2632	0.1936	0.1588	0.0978	0.0406	-0.0597	-0.094	-0.1113	-0.1132	-0.1171	-0.1393	-0.1415	-0.1736	-0.1938	-0.2029	-0.1748	-0.1725	-0.1518	-0.1467	-0.1732	-0.2036	-0.1942	-0.2336	-0.229	-0.2274	-0.2321	-0.1838	-0.0823	0.0359	0.2226	0.3839
PF3D7_0102700	1.1922	1.1035	1.0852	0.9848	0.9261	0.93	0.8734	0.7947	0.8004	0.7097	0.6485	0.5039	0.4245	0.294	0.2256	0.0156	-0.078	-0.2115	-0.271	-0.3551	-0.4313	-0.4897	-0.5748	-0.6433	-0.7164	-0.682	-0.7451	-0.701	-0.7548	-0.7254	-0.7236	-0.7246	-0.7141	-0.605	-0.6261	-0.5938	-0.5842	-0.5215	-0.4842	-0.3878	-0.2852	-0.1175	-0.0578	-0.0127	0.0985	0.1987	0.2719	0.2896	0.6608	0.7349	0.9519	1.2755	1.2858
PF3D7_0102800	0.011	0.0294	0.0044	-0.0077	-0.0295	-0.0594	-0.0607	-0.0518	-0.0262	-0.0193	0.0194	0.0253	0.0514	0.0413	0.0274	0.0113	0.0333	0.018	0.0399	0.0688	0.1167	0.1497	0.1403	0.1034	0.1039	0.0987	0.0899	0.1213	0.1405	0.1464	0.1152	0.0885	0.1017	0.1151	0.1117	0.1688	0.1829	0.1607	0.2267	0.2342	0.2042	0.1877	0.1751	0.0963	0.095	0.0621	0.0728	0.1046	0.083	0.085	0.1037	0.1035	0.1797
PF3D7_0102900	-0.5268	-0.4412	-0.3849	-0.3443	-0.3632	-0.3679	-0.3527	-0.2926	-0.2267	-0.068	0.0922	0.1805	0.2177	0.2778	0.3289	0.283	0.2888	0.3745	0.4033	0.3918	0.3933	0.368	0.3507	0.3244	0.3586	0.42	0.3983	0.3627	0.3577	0.294	0.2042	0.2905	0.2175	0.1515	0.146	0.0535	-0.1225	-0.1255	-0.2059	-0.3855	-0.4616	-0.4954	-0.5832	-0.7187	-0.7595	-0.7912	-0.8633	-0.9623	-0.8507	-0.718	-0.5941	-0.396	-0.2405
PF3D7_0103000	-0.0309	0.0058	0.0176	0.0325	0.0611	0.0748	0.0961	0.1261	0.1294	0.1017	0.1822	0.2514	0.2663	0.3041	0.3217	0.2422	0.2037	0.1473	0.1793	0.1792	0.156	0.1241	0.1897	0.0997	0.0646	0.1005	0.0878	0.0589	0.0861	0.0971	0.0256	0.0328	-0.0317	-0.0507	-0.0981	-0.0582	-0.0463	-0.0463	-0.0275	0.0712	0.1277	0.1541	0.1968	0.1876	0.1383	0.1161	0.1145	0.1033	0.1684	0.191	0.2021	0.2444	0.2394
PF3D7_0103100	-0.0085	0.0356	0.0881	0.0923	0.1318	0.1431	0.1465	0.1276	0.1852	0.1445	0.2442	0.2342	0.2772	0.3194	0.327	0.2375	0.2653	0.1945	0.1586	0.1305	0.0889	0.0445	0.0596	0.0058	0.01	0.0669	0.0914	0.0911	0.0332	0.0666	-0.0163	-0.0457	-0.0518	-0.0067	-0.0807	-0.0616	-0.0385	-0.0734	-0.0424	0.0139	0.0324	0.0297	0.0606	0.01	-0.0049	0.0127	0.0277	0.0243	0.1293	0.174	0.2138	0.2785	0.2747
PF3D7_0103200	-0.6374	-0.6534	-0.7084	-0.7859	-0.8924	-0.941	-0.9217	-0.8558	-0.6277	-0.3779	-0.2045	-0.0307	0.129	0.0903	0.2605	0.2234	0.2624	0.2894	0.4104	0.3963	0.4721	0.4472	0.5362	0.5136	0.4679	0.4739	0.4364	0.3761	0.3535	0.3291	0.2857	0.3747	0.2792	0.2127	0.2068	0.131	-0.0314	-0.0574	-0.0969	-0.106	-0.1201	-0.1387	-0.2641	-0.4522	-0.6605	-0.6683	-0.8117	-0.8867	-0.8154	-0.7247	-0.7561	-0.5764	-0.4636
PF3D7_0103300	0.6316	0.3114	0.1893	0.0403	0.0871	0.1361	0.1439	0.1691	0.2286	0.2628	0.3516	0.3902	0.3635	0.3941	0.3084	0.2296	0.2292	0.2278	0.1161	0.1177	0.066	0.0013	-0.0624	-0.071	-0.0763	-0.0328	-0.0288	0.0149	0.0059	-0.005	-0.0515	-0.1286	-0.1346	-0.0767	-0.0538	-0.0622	-0.0036	0.0092	0.0126	-0.032	0.1566	0.2174	0.2352	0.1954	0.2497	0.0944	0.0882	0.081	0.1283	0.1174	0.0891	0.0395	-0.0264
PF3D7_0103400	-0.174	-0.2244	-0.3065	-0.3411	-0.2952	-0.364	-0.3408	-0.3924	-0.4418	-0.5221	-0.5429	-0.5668	-0.2947	-0.2611	-0.2545	-0.1732	-0.1096	-0.2914	-0.2452	-0.1481	-0.1102	-0.0622	-0.0183	-0.0523	-0.1058	-0.101	-0.1282	-0.1654	-0.1273	-0.1318	-0.1635	-0.1855	-0.1551	-0.1048	-0.0114	0.0773	0.1477	0.1575	0.2377	0.3128	0.3097	0.3161	0.3122	0.2707	0.2206	0.3761	0.4485	0.4594	0.5469	0.5732	0.2928	0.1703	-0.245
PF3D7_0103500	-0.0018	-0.0259	-0.0361	-0.0376	-0.0383	-0.0308	-6e-04	-0.008	4e-04	0.0097	0.001	-0.0094	0.0163	-0.0078	-0.0106	-0.0023	-0.0023	-0.0227	-0.0027	0.0221	0.0365	0.0511	0.0981	0.1389	0.1485	0.1609	0.178	0.1444	0.1195	0.0971	0.0815	0.0964	0.1029	0.1063	0.1034	0.1122	0.0781	0.0762	0.0647	0.0575	0.0212	0.0045	-0.0176	-0.0309	-0.0334	0.0047	0.0112	0.0164	0.0076	0.022	0.0087	0.0266	0.0699
PF3D7_0103600	-0.3417	-0.2611	-0.223	-0.1998	-0.2083	-0.241	-0.2389	-0.2148	-0.1454	-0.0269	0.0875	0.1514	0.1862	0.2233	0.1662	0.1964	0.2629	0.2494	0.1672	0.1834	0.1651	0.1324	0.1796	0.2587	0.2696	0.218	0.2399	0.1909	0.134	0.0904	0.0973	0.012	0.0288	0.0465	0.0974	0.0974	0.1285	0.0962	0.0697	0.0986	0.065	0.0232	-0.003	0.0038	-0.0521	-0.0216	-0.013	0.0082	-0.077	-0.0952	-0.1893	-0.2541	-0.2605
PF3D7_0103700	0.1016	0.0241	0.0139	-0.0042	0.0371	0.1042	0.1045	0.1864	0.2253	0.2712	0.3546	0.4221	0.3878	0.4917	0.5057	0.4343	0.4174	0.3852	0.2332	0.1298	0.0947	0.0631	0.1482	0.1996	0.242	0.2547	0.2688	0.1832	0.1434	0.0988	0.0683	0.0015	-0.0169	0.0057	-0.0063	0.0168	0.0557	0.0696	0.0567	0.0735	0.0476	-0.0033	-0.0615	-0.0756	-0.0586	-0.061	-0.0495	-0.0289	-0.0218	-0.0625	-0.0365	0.0095	0.059
PF3D7_0103800	0.3747	0.317	0.3528	0.3089	0.3479	0.3954	0.3399	0.334	0.3174	0.2483	0.2005	0.1493	0.1036	0.0419	0.0504	-0.006	-0.0161	-0.0215	0.0313	-0.0851	-0.097	-0.1461	-0.1655	-0.1824	-0.0952	-0.0631	-0.037	0.0258	0.0506	0.073	0.0663	0.0901	0.0222	-0.0155	-0.0729	-0.0911	-0.1015	-0.1118	-0.0349	0.0429	0.1084	0.1612	0.2119	0.1968	0.197	0.2019	0.2109	0.255	0.3143	0.2991	0.3027	0.2621	0.1388
PF3D7_0103900	0.0053	-0.0704	-0.1349	-0.1536	-0.1783	-0.1937	-0.1886	-0.1504	-0.1426	-0.1091	-0.0789	-0.0791	-0.0571	-0.0114	0.0583	0.07	0.1406	0.148	0.0915	0.0262	0.0601	0.0509	0.1478	0.2375	0.2999	0.3404	0.3939	0.3516	0.3507	0.3354	0.3139	0.2985	0.2608	0.2271	0.2558	0.1986	0.1714	0.1781	0.1559	0.0403	0.0207	-0.0387	-0.0664	-0.1049	-0.0711	-0.0766	-0.0689	-0.0823	-0.1314	-0.1186	-0.0966	-0.0837	0.0329
PF3D7_0104100	0.2944	0.1881	0.1368	0.0956	0.0556	0.0941	0.069	0.0522	0.0299	0.0221	-0.0485	-0.1066	-0.1303	-0.212	-0.2475	-0.2814	-0.2854	-0.277	-0.2293	-0.2238	-0.2199	-0.2323	-0.2015	-0.1557	-0.1265	-0.0539	0.0113	0.0119	0.0291	0.0447	0.0562	0.1001	0.107	0.0996	0.1001	0.0653	0.0469	0.0759	0.1344	0.1195	0.1762	0.2229	0.2602	0.2457	0.3266	0.3136	0.3558	0.3909	0.3686	0.283	0.2517	0.0776	-0.0429
PF3D7_0104200	0.8384	0.4601	0.2013	-0.0443	-0.2227	-0.1117	-0.074	-0.1671	-0.1622	-0.0968	-0.3375	-0.4768	-0.5042	-0.5833	-0.6468	-0.7519	-0.9108	-0.8693	-0.889	-0.9669	-1.0106	-0.9912	-1.0671	-0.9919	-0.9748	-0.8337	-0.814	-0.7464	-0.7463	-0.6751	-0.6281	-0.4285	-0.3315	-0.2691	-0.1606	-0.0885	-0.0845	0.0523	0.0914	-0.1001	-0.1568	-0.2194	-0.2714	-0.284	-4e-04	0.1367	0.334	0.3474	0.6353	0.5664	0.6609	0.6662	0.46
PF3D7_0104300	0.2432	0.3092	0.2812	0.3565	0.3114	0.2992	0.2915	0.286	0.1513	0.0278	-0.0889	-0.1929	-0.3183	-0.3896	-0.4719	-0.4424	-0.471	-0.4793	-0.5032	-0.5502	-0.6366	-0.6984	-0.8198	-0.8777	-0.8884	-0.9491	-0.9301	-0.9028	-0.9519	-0.9733	-0.9518	-1.0235	-0.9548	-0.8243	-0.7222	-0.5915	-0.3614	-0.2645	-0.1811	-0.1237	-0.1087	-0.128	-0.0912	0.0168	0.2002	0.4312	0.5253	0.5641	0.817	0.8972	0.7506	0.8217	0.369
PF3D7_0104400	0.09	0.0166	-0.1035	-0.152	-0.2038	-0.2173	-0.1898	-0.2038	-0.2001	-0.2498	-0.3574	-0.3542	-0.3222	-0.3176	-0.2321	-0.0868	-0.0086	0.0769	0.108	0.085	0.0803	0.0421	-0.0068	0.0216	0.0569	0.0528	0.146	0.1936	0.177	0.1922	0.2143	0.1274	0.1197	0.14	0.1207	0.136	0.1549	0.169	0.1965	0.2221	0.2144	0.2324	0.1873	0.186	0.1843	0.1821	0.1571	0.199	0.1727	0.1532	0.122	0.0958	0.0274
PF3D7_0104500	-0.2397	-0.3106	-0.3675	-0.3428	-0.2972	-0.2201	-0.1768	-0.065	0.0054	0.048	0.1012	0.1191	0.1778	0.1676	0.2746	0.3126	0.3695	0.385	0.4146	0.3696	0.3385	0.3099	0.1773	0.1543	0.1048	0.0331	-0.0798	0.0027	-0.0545	-0.0669	-0.029	0.0199	-0.0165	-0.0537	-0.1209	-0.2118	-0.2827	-0.3251	-0.3976	-0.5306	-0.5616	-0.7001	-0.8154	-0.8553	-0.8226	-0.8221	-0.7899	-0.8319	-0.6966	-0.5573	-0.4236	-0.1062	0.1056
PF3D7_0104600	0.007	0.019	0.0955	0.2533	0.2838	0.3722	0.4374	0.5147	0.4619	0.508	0.5485	0.5657	0.4547	0.5476	0.5557	0.5633	0.5284	0.5621	0.3681	0.2342	0.0926	0.032	0.0723	0.1026	0.1572	0.1893	0.2515	0.1417	0.1011	0.0199	-0.0347	-0.1469	-0.2005	-0.2546	-0.3267	-0.3823	-0.3901	-0.4176	-0.4166	-0.3557	-0.378	-0.4488	-0.4534	-0.4252	-0.3837	-0.2948	-0.216	-0.1838	-0.1539	-0.134	-0.1411	-0.1029	-0.125
PF3D7_0104700	0.0785	0.0639	0.0553	0.0442	0.0756	0.0747	0.1107	0.1308	0.1506	0.1179	0.1327	0.1356	0.1357	0.1168	0.1407	0.1259	0.1216	0.116	0.1605	0.1252	0.122	0.0923	0.0349	0.0059	0.0186	0.029	0.0381	0.0805	0.0526	0.0563	0.0105	0.0272	0.0111	0.0016	-0.0125	0.0155	-0.0256	-0.0287	-0.0175	-0.0314	-0.0179	0.0141	0.0262	0.0267	0.0207	0.0048	-0.0166	-0.0305	-0.0146	0.044	0.0704	0.1214	0.1651
PF3D7_0104800	0.3403	0.1534	0.0677	-0.0274	-0.0479	0.0603	0.0109	0.0119	-0.0662	-0.2347	-0.5042	-0.667	-0.7898	-0.8502	-0.7553	-0.7197	-0.6456	-0.536	-0.4536	-0.5325	-0.4687	-0.4632	-0.4239	-0.3751	-0.2321	-0.1349	-0.0304	-0.0947	-0.0696	-0.0386	-0.0763	-0.0646	0.0034	0.0095	-0.085	-0.0715	-0.0733	-0.0725	-0.0817	-0.0887	-0.1465	-0.1914	-0.1859	-0.1391	0.0171	0.1334	0.2007	0.1977	0.2766	0.2025	0.1232	0.0508	-0.242
PF3D7_0105100	0.1173	0.1453	0.1089	0.1083	0.0294	-0.0678	-0.0983	-0.1465	-0.2118	-0.1864	-0.1863	-0.2172	-0.2141	-0.2672	-0.2415	-0.2282	-0.1584	-0.0855	-0.0327	-0.0546	-0.0233	-0.0224	-0.0287	0.0298	0.0838	0.0906	0.1488	0.1761	0.2081	0.2094	0.2229	0.195	0.1483	0.1132	0.1282	0.1208	0.0915	0.1369	0.142	0.1458	0.1728	0.1674	0.1297	0.0833	0.0208	-0.0151	-0.0257	-0.0371	-0.0678	-0.0546	0.0233	0.101	0.3711
PF3D7_0105200	-0.259	-0.3142	-0.3999	-0.441	-0.5119	-0.6011	-0.5956	-0.6099	-0.5987	-0.4653	-0.3507	-0.2327	-0.1233	-0.0191	0.0362	0.0674	0.0887	0.1259	0.1235	0.1106	0.1417	0.1397	0.2437	0.3202	0.3742	0.4299	0.4363	0.3666	0.3241	0.307	0.2665	0.3488	0.3239	0.2922	0.2712	0.2347	0.1175	0.1153	0.0202	-0.1018	-0.1579	-0.1935	-0.2445	-0.271	-0.2477	-0.2822	-0.2685	-0.2898	-0.2621	-0.2282	-0.1738	-0.1699	-0.0951
