ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53
PF3D7_0621300	-0.4481	-0.1706	0.0019	0.1847	0.3044	0.3263	0.3503	0.4145	0.4156	0.4705	0.5299	0.5914	0.552	0.6378	0.5838	0.6146	0.5579	0.5221	0.3826	0.317	0.2302	0.221	0.1924	0.1176	0.0822	0.0346	-0.0573	-0.0619	-0.0661	-0.1514	-0.1839	-0.2232	-0.3045	-0.3234	-0.3403	-0.4271	-0.4945	-0.5485	-0.6507	-0.6891	-0.6669	-0.6626	-0.694	-0.6291	-0.6329	-0.6209	-0.6583	-0.6967	-0.6043	-0.4531	-0.3139	0.0315	0.2774
PF3D7_0621400	0.1489	0.1464	0.1832	0.1898	0.2382	0.2839	0.298	0.291	0.6462	0.8652	1.201	1.2792	1.4941	1.2829	1.1219	0.7696	0.8104	0.5365	0.3406	0.1864	0.119	-0.0525	-0.1043	-0.0551	0.0062	-0.0018	0.1642	0.2516	0.2065	0.187	0.2065	0.0633	0.0379	0.0216	0.0103	0.0084	0.0187	-1e-04	0.0122	-0.0077	0.0029	0.0124	0.0927	0.1599	0.2426	0.2884	0.3641	0.4	0.4431	0.3903	0.4191	0.3476	0.3061
PF3D7_0621700	-0.232	-0.1794	-0.1837	-0.1525	-0.1089	-0.1391	-0.1228	-0.0778	-0.0695	-0.0868	-0.0373	0.0061	0.005	0.0548	0.0811	0.17	0.2207	0.2373	0.2018	0.2419	0.2055	0.1943	0.1855	0.1752	0.1403	0.0879	0.0752	0.0552	0.0236	0.0153	0.0074	-0.0756	-0.0664	-0.0385	-0.0631	-0.0725	-0.0395	-0.0675	-0.085	-0.0247	-0.0171	-0.0404	-0.0717	-0.0884	-0.1526	-0.1672	-0.1725	-0.1359	-0.1226	-0.0832	-0.1088	-0.0879	-0.1214
PF3D7_0621800	-0.398	-0.2026	-0.0502	0.0876	0.2091	0.2496	0.3564	0.3943	0.3976	0.3553	0.3917	0.3431	0.3489	0.4423	0.4855	0.4975	0.4901	0.447	0.3763	0.3335	0.3085	0.3164	0.3516	0.2152	0.129	0.1133	-3e-04	-0.1126	-0.1325	-0.1427	-0.2561	-0.3609	-0.4197	-0.4039	-0.4593	-0.5251	-0.5244	-0.6232	-0.7947	-0.9939	-1.1269	-1.2372	-1.3575	-1.4161	-1.3701	-1.3864	-1.4366	-1.4835	-1.3381	-1.1282	-0.7757	-0.2312	0.3667
PF3D7_0622200	-0.2836	-0.1324	0.0347	0.1118	0.2279	0.3006	0.3458	0.407	0.4904	0.5539	0.6494	0.6426	0.6236	0.5957	0.5419	0.4321	0.4615	0.3964	0.3669	0.3358	0.2797	0.1841	0.2294	0.1895	0.1596	0.1792	0.0944	-0.0517	-0.1193	-0.1709	-0.2686	-0.2674	-0.265	-0.2952	-0.354	-0.4092	-0.4637	-0.5258	-0.1632	-0.2256	-0.2279	-0.2595	-0.2324	-0.641	-0.5915	-0.6077	-0.6121	-0.683	-0.6404	-0.5473	-0.3685	-0.1162	0.1951
PF3D7_0622300	-0.0212	-0.0146	-0.0272	-0.0329	-0.0376	-0.0457	-0.0395	-0.0237	-0.0281	-0.0044	-0.038	0.0186	-0.006	-0.0208	-0.0226	0.025	-0.031	-0.015	0.048	0.0996	0.1266	0.1693	0.1883	0.1361	0.1125	0.0755	0.034	0.0147	0.0346	0.0162	0.0395	0.0735	0.0815	0.0816	0.1074	0.1119	0.1026	0.1135	0.1187	0.0775	0.0739	0.0733	0.0653	0.0422	0.0374	-0.0035	-0.0217	-0.0235	-0.021	0.0266	0.0321	0.0442	0.0474
PF3D7_0622500	0.0083	-0.0688	-0.0851	-0.1151	-0.0912	-0.0267	0.0051	0.0403	0.0622	0.1241	0.2627	0.2984	0.3298	0.4267	0.4351	0.2977	0.3167	0.2936	0.2112	0.1304	0.1197	0.0779	0.1365	0.1507	0.1962	0.1928	0.2	0.0988	0.1046	0.0758	0.0698	0.0373	0.031	-0.0246	-0.0525	-0.0965	-0.1121	-0.1164	-0.1243	-0.1225	-0.1213	-0.1615	-0.1819	-0.1766	-0.1824	-0.1738	-0.1126	-0.1311	-0.1665	-0.1644	-0.1927	-0.2262	-0.1922
PF3D7_0622700	-0.0307	-0.0687	-0.0598	-0.1161	-0.1297	-0.0403	-0.08	-0.0868	-0.0374	0.0807	0.1064	0.2004	0.2247	0.3382	0.3992	0.2713	0.2074	0.1863	0.0806	-0.0652	-0.0243	-0.056	0.0072	0.0598	0.0875	0.0783	0.0761	0.0592	0.0162	0.0129	0.0205	0.0851	0.0629	0.0689	0.0585	0.0427	-0.0063	0.0399	-0.0281	0.015	-0.0145	-0.0863	-0.1996	-0.2067	-0.3394	-0.3473	-0.3681	-0.3762	-0.3983	-0.2855	-0.2747	-0.1793	-0.0915
PF3D7_0622800	-0.544	-0.383	-0.3111	-0.2218	-0.2241	-0.2557	-0.2444	-0.1863	-0.1598	-0.101	-0.0207	0.0326	0.0101	0.0104	0.0058	0.0657	0.1231	0.1552	0.1788	0.2257	0.2005	0.1755	0.155	0.1625	0.1694	0.1547	0.1538	0.122	0.0967	0.0656	0.0314	-0.0275	-1e-04	-0.0308	-0.0446	-0.0945	-0.1312	-0.1762	-0.2318	-0.3633	-0.4285	-0.4869	-0.5841	-0.6685	-0.7007	-0.7017	-0.7585	-0.7547	-0.7108	-0.5773	-0.6291	-0.5747	-0.6612
PF3D7_0622900	0.2734	0.4536	0.543	0.6766	0.7713	0.6993	0.764	0.7574	0.6039	0.4499	0.4437	0.3703	0.2835	0.3402	0.2686	0.2759	0.1628	0.0625	-0.0956	-0.2153	-0.3305	-0.394	-0.5985	-0.6287	-0.6544	-0.7526	-0.785	-0.6339	-0.7412	-0.7625	-0.7476	-0.8003	-0.8293	-0.6916	-0.6345	-0.5727	-0.4279	-0.3612	-0.3202	-0.2588	-0.2033	-0.2388	-0.2464	-0.1475	-0.065	0.0386	0.1287	0.1644	0.3319	0.3926	0.4052	0.5593	0.3911
